"filename", "language", "JavaScript", "SCSS", "PostCSS", "comment", "blank", "total"
"e:\dianuo\src\App.css", "PostCSS", 0, 0, 33, 0, 6, 39
"e:\dianuo\src\App.js", "JavaScript", 6, 0, 0, 0, 2, 8
"e:\dianuo\src\component\ButtomBar\index.js", "JavaScript", 67, 0, 0, 12, 12, 91
"e:\dianuo\src\component\ButtomBar\index.scss", "SCSS", 0, 61, 0, 2, 15, 78
"e:\dianuo\src\component\Consultancy\index.js", "JavaScript", 65, 0, 0, 2, 7, 74
"e:\dianuo\src\component\Consultancy\index.scss", "SCSS", 0, 102, 0, 5, 18, 125
"e:\dianuo\src\component\HeadSection\index.js", "JavaScript", 24, 0, 0, 1, 7, 32
"e:\dianuo\src\component\HeadSection\index.scss", "SCSS", 0, 43, 0, 2, 7, 52
"e:\dianuo\src\component\NavBar\index.js", "JavaScript", 172, 0, 0, 18, 27, 217
"e:\dianuo\src\component\NavBar\index.scss", "SCSS", 0, 198, 0, 5, 37, 240
"e:\dianuo\src\component\PageMidNav\index.js", "JavaScript", 89, 0, 0, 12, 18, 119
"e:\dianuo\src\component\PageMidNav\index.scss", "SCSS", 0, 71, 0, 8, 13, 92
"e:\dianuo\src\component\Pagination\index.js", "JavaScript", 77, 0, 0, 4, 11, 92
"e:\dianuo\src\component\Pagination\index.scss", "SCSS", 0, 48, 0, 0, 7, 55
"e:\dianuo\src\component\SideBar\index.js", "JavaScript", 86, 0, 0, 2, 13, 101
"e:\dianuo\src\component\SideBar\index.scss", "SCSS", 0, 42, 0, 0, 6, 48
"e:\dianuo\src\deviceContext.js", "JavaScript", 18, 0, 0, 0, 6, 24
"e:\dianuo\src\index.css", "PostCSS", 0, 0, 13, 0, 2, 15
"e:\dianuo\src\index.js", "JavaScript", 16, 0, 0, 0, 1, 17
"e:\dianuo\src\pages\About\FirmCulture\index.js", "JavaScript", 48, 0, 0, 0, 8, 56
"e:\dianuo\src\pages\About\FirmCulture\index.scss", "SCSS", 0, 84, 0, 3, 11, 98
"e:\dianuo\src\pages\About\FirmHonor\index.js", "JavaScript", 78, 0, 0, 2, 15, 95
"e:\dianuo\src\pages\About\FirmHonor\index.scss", "SCSS", 0, 61, 0, 4, 10, 75
"e:\dianuo\src\pages\About\FirmIntroduction\index.js", "JavaScript", 21, 0, 0, 0, 9, 30
"e:\dianuo\src\pages\About\FirmIntroduction\index.scss", "SCSS", 0, 53, 0, 3, 9, 65
"e:\dianuo\src\pages\About\FirmPartner\index.js", "JavaScript", 78, 0, 0, 5, 12, 95
"e:\dianuo\src\pages\About\FirmPartner\index.scss", "SCSS", 0, 86, 0, 6, 22, 114
"e:\dianuo\src\pages\About\index.js", "JavaScript", 20, 0, 0, 0, 4, 24
"e:\dianuo\src\pages\About\index.scss", "SCSS", 0, 13, 0, 3, 2, 18
"e:\dianuo\src\pages\Contact\index.js", "JavaScript", 147, 0, 0, 3, 24, 174
"e:\dianuo\src\pages\Contact\index.scss", "SCSS", 0, 145, 0, 5, 33, 183
"e:\dianuo\src\pages\Error\index.js", "JavaScript", 24, 0, 0, 0, 5, 29
"e:\dianuo\src\pages\Error\index.scss", "SCSS", 0, 195, 0, 1, 30, 226
"e:\dianuo\src\pages\Home\FirmIntro\index.js", "JavaScript", 64, 0, 0, 1, 14, 79
"e:\dianuo\src\pages\Home\FirmIntro\index.scss", "SCSS", 0, 112, 0, 5, 19, 136
"e:\dianuo\src\pages\Home\SlideShow\index.js", "JavaScript", 116, 0, 0, 18, 24, 158
"e:\dianuo\src\pages\Home\SlideShow\index.scss", "SCSS", 0, 67, 0, 0, 10, 77
"e:\dianuo\src\pages\Home\index.js", "JavaScript", 44, 0, 0, 0, 14, 58
"e:\dianuo\src\pages\Home\index.scss", "SCSS", 0, 0, 0, 0, 1, 1
"e:\dianuo\src\pages\News\index.js", "JavaScript", 21, 0, 0, 0, 3, 24
"e:\dianuo\src\pages\Product\detail\index.js", "JavaScript", 108, 0, 0, 2, 21, 131
"e:\dianuo\src\pages\Product\detail\index.scss", "SCSS", 0, 125, 0, 6, 23, 154
"e:\dianuo\src\pages\Product\index.js", "JavaScript", 89, 0, 0, 3, 17, 109
"e:\dianuo\src\pages\Product\index.scss", "SCSS", 0, 72, 0, 3, 12, 87
"e:\dianuo\src\pages\Recruit\index.js", "JavaScript", 21, 0, 0, 0, 3, 24
"e:\dianuo\src\pages\Service\index.js", "JavaScript", 22, 0, 0, 0, 4, 26
"e:\dianuo\src\pages\Service\index.scss", "SCSS", 0, 0, 0, 0, 1, 1
"e:\dianuo\src\router\index.js", "JavaScript", 161, 0, 0, 2, 2, 165
"e:\dianuo\src\store\index.js", "JavaScript", 8, 0, 0, 1, 2, 11
"e:\dianuo\src\store\modules\navBarStore.js", "JavaScript", 23, 0, 0, 5, 6, 34
"Total", "-", 1713, 1578, 46, 154, 585, 4076
